Name,Socket,Core Count,Thread Count,Base Clock,Boost Clock,TDP,Price,Performance_Class
Intel Core i7-8700K,LGA1151,6,12,3.7 GHz,4.7 GHz,95 W,22654,High
AMD Ryzen 7 8700G,AM5,8,16,4.2 GHz,5.1 GHz,65 W,35615,High
Intel Core i9-12900KF,LGA1700,16,24,3.2 GHz,5.2 GHz,125 W,38752,Pro
AMD Ryzen 5 5500GT,AM4,6,12,3.6 GHz,4.4 GHz,65 W,18579,Mid
Intel Core Ultra 5 245KF,LGA1851,14,14,4.2 GHz,5.2 GHz,125 W,23646,High
AMD Ryzen 7 2700X,AM4,8,16,3.7 GHz,4.3 GHz,105 W,15880,High
AMD Ryzen 5 8600G,AM5,6,12,4.3 GHz,5.0 GHz,65 W,21837,Mid
Intel Core i9-9900K,LGA1151,8,16,3.6 GHz,5.0 GHz,95 W,52432,Pro
Intel Core i3-14100F,LGA1700,4,8,3.5 GHz,4.7 GHz,58 W,12913,Entry
AMD Ryzen 7 7800X3D,AM5,8,16,4.2 GHz,5.0 GHz,120 W,46680,High
Intel Core i7-7700K,LGA1151,4,8,4.2 GHz,4.5 GHz,91 W,21603,High
Intel Core i9-14900KS,LGA1700,24,32,3.2 GHz,6.2 GHz,150 W,81741,Pro
AMD Ryzen 3 4100,AM4,4,8,3.8 GHz,4.0 GHz,65 W,8057,Entry
Intel Celeron E3400,LGA775,2,2,2.6 GHz,,65 W,2216,Entry
AMD Ryzen 9 7950X,AM5,16,32,4.5 GHz,5.7 GHz,170 W,86282,Pro
Intel Core i5-13600K,LGA1700,14,20,3.5 GHz,5.1 GHz,125 W,37251,High
Intel Core i7-10700K,LGA1200,8,16,3.8 GHz,5.1 GHz,125 W,46826,High
Intel Core i9-13900K,LGA1700,24,32,3.0 GHz,5.8 GHz,125 W,64925,Pro
Intel Core i3-10100F,LGA1200,4,8,3.6 GHz,4.3 GHz,65 W,5838,Entry
Intel Core i5-9400F,LGA1151,6,6,2.9 GHz,4.1 GHz,65 W,14012,Mid
AMD Ryzen 9 7900X3D,AM5,12,24,4.4 GHz,5.6 GHz,120 W,89916,Pro
Intel Core i7-6700K,LGA1151,4,8,4.0 GHz,4.2 GHz,91 W,14642,High
AMD Ryzen 5 1600 (14nm),AM4,6,12,3.2 GHz,3.6 GHz,65 W,9160,Entry
Intel Core i5-11400F,LGA1200,6,12,2.6 GHz,4.4 GHz,65 W,18683,Mid
AMD Ryzen 7 3800X,AM4,8,16,3.9 GHz,4.5 GHz,105 W,87464,High
Intel Core i5-14400,LGA1700,10,16,2.5 GHz,4.7 GHz,65 W,35539,Mid
Intel Core i5-12400,LGA1700,6,12,2.5 GHz,4.4 GHz,65 W,26156,Mid
AMD Ryzen 9 7900,AM5,12,24,3.7 GHz,5.4 GHz,65 W,45659,Pro
Intel Core i7-8700,LGA1151,6,12,3.2 GHz,4.6 GHz,65 W,16075,High
Intel Core i5-9600K,LGA1151,6,6,3.7 GHz,4.6 GHz,95 W,16900,Mid
Intel Core i7-11700K,LGA1200,8,16,3.6 GHz,5.0 GHz,125 W,41922,High
Intel Xeon E5-2687W V4,LGA2011-3,12,24,3.0 GHz,3.5 GHz,160 W,293561,Pro
Intel Core i7-12700F,LGA1700,12,20,2.1 GHz,4.9 GHz,65 W,33513,High
AMD Ryzen 5 2600X,AM4,6,12,3.6 GHz,4.2 GHz,95 W,29835,Mid
Intel Core i3-6100,LGA1151,2,4,3.7 GHz,,51 W,2471,Entry
Intel Core i7-7700,LGA1151,4,8,3.6 GHz,4.2 GHz,65 W,11969,High
Intel Core i7-6700,LGA1151,4,8,3.4 GHz,4.0 GHz,65 W,11347,High
Intel Core i5-13600KF,LGA1700,14,20,3.5 GHz,5.1 GHz,125 W,35031,High
Intel Core Ultra 7 265F,LGA1851,20,20,2.4 GHz,5.3 GHz,65 W,40871,High
Intel Core i5-6500,LGA1151,4,4,3.2 GHz,3.6 GHz,65 W,10859,Mid
AMD Ryzen 5 9600,AM5,6,12,3.8 GHz,5.2 GHz,65 W,32134,Mid
Intel Core i9-10900K,LGA1200,10,20,3.7 GHz,5.3 GHz,125 W,70781,Pro
Intel Core i5-10400,LGA1200,6,12,2.9 GHz,4.3 GHz,65 W,21836,Mid
Intel Core i7-10700F,LGA1200,8,16,2.9 GHz,4.8 GHz,65 W,35292,High
AMD Ryzen 7 7700,AM5,8,16,3.6 GHz,5.3 GHz,65 W,49883,High
Intel Core i5-8400,LGA1151,6,6,2.8 GHz,4.0 GHz,65 W,19851,Mid
AMD Ryzen 9 3950X,AM4,16,32,3.5 GHz,4.7 GHz,105 W,46709,Pro
Intel Core i7-13700F,LGA1700,16,24,2.1 GHz,5.2 GHz,65 W,44957,High
Intel Core i7-10700,LGA1200,8,16,2.9 GHz,4.8 GHz,65 W,34916,High
Intel Core i9-11900K,LGA1200,8,16,3.5 GHz,5.3 GHz,125 W,50797,Pro
