Name,Socket,Core Count,Thread Count,Base Clock,Boost Clock,TDP,Price,Performance_Class
Intel Xeon E5-2687W V2,LGA2011,8,16,3.4 GHz,4.0 GHz,150 W,0,Pro
Intel Xeon E5-1650 V2,LGA2011,6,12,3.5 GHz,3.9 GHz,130 W,27446,Pro
Intel Core i3-6300,LGA1151,2,4,3.8 GHz,51 W,11703,Entry
Intel Core i5-7400,LGA1151,4,4,3.0 GHz,3.5 GHz,65 W,21021,Mid
AMD Athlon II X2 270,AM3,2,2,3.4 GHz,65 W,7561,Entry
Intel Xeon E5-2683 V4,LGA2011-3,16,32,2.1 GHz,3.0 GHz,120 W,233427,Pro
Intel Core i9-9900X,LGA2066,10,20,3.5 GHz,4.4 GHz,165 W,58386,Pro
Intel Core i9-9960X,LGA2066,16,32,3.1 GHz,4.4 GHz,165 W,116774,Pro
Intel Core 2 Quad Q6600,LGA775,4,4,2.4 GHz,100 W,0,Entry
Intel Xeon E3-1241 V3,LGA1150,4,8,3.5 GHz,3.9 GHz,80 W,34799,Pro
Intel Pentium G4600,LGA1151,2,4,3.6 GHz,51 W,0,Entry
Intel Xeon E5-2620 V3,LGA2011-3,6,12,2.4 GHz,3.2 GHz,85 W,14945,Pro
Intel Xeon E5-2630,LGA2011,6,12,2.3 GHz,95 W,5565,Pro
AMD FX-9590,AM3+,8,8,4.7 GHz,5.0 GHz,220 W,0,Entry
Intel Core i3-10100T,LGA1200,4,8,3.0 GHz,3.8 GHz,35 W,0,Entry
AMD EPYC 4244P,AM5,6,12,3.8 GHz,5.1 GHz,65 W,29193,Pro
Intel Xeon E5-2643 V4,LGA2011-3,6,12,3.4 GHz,3.7 GHz,135 W,108595,Pro
AMD FX-8370,AM3+,8,8,4.0 GHz,4.3 GHz,125 W,31918,Entry
Intel Core i3-8100,LGA1151,4,4,3.6 GHz,65 W,14585,Entry
Intel Core i3-7100,LGA1151,2,4,3.9 GHz,51 W,12149,Entry
Intel Core i5-650,LGA1156,2,4,3.2 GHz,73 W,11787,Mid
Intel Core 2 Quad Q6600,LGA775,4,4,2.4 GHz,100 W,10504,Entry
Intel Core i7-2600S,LGA1155,4,8,2.8 GHz,65 W,11676,High
Intel Core i5-3550,LGA1155,4,4,3.3 GHz,77 W,29193,Mid
AMD A4-3300,FM1,2,2,2.5 GHz,65 W,10159,Entry
Intel Xeon E3-1220 V3,LGA1150,4,4,3.1 GHz,3.5 GHz,80 W,17509,Pro
AMD A10-7890K,FM2+,4,4,4.1 GHz,4.3 GHz,95 W,0,Entry
Intel Core i3-13100T,LGA1700,4,8,2.5 GHz,4.2 GHz,35 W,0,Entry
Intel Core i5-8500,LGA1151,6,6,3.0 GHz,4.1 GHz,65 W,21018,Mid
Intel Xeon E5-2650,LGA2011,8,16,2.0 GHz,2.8 GHz,95 W,12728,Pro
Intel Core i5-2400S,LGA1155,4,4,2.5 GHz,65 W,21524,Mid
Intel Celeron G440,LGA1155,1,1,1.6 GHz,35 W,0,Entry
Intel Core i7-4790T,LGA1150,4,8,2.7 GHz,3.9 GHz,45 W,17502,High
Intel Xeon E-2286G,LGA1151,6,12,4.0 GHz,4.9 GHz,95 W,73289,Pro
Intel Core i7-960,LGA1366,4,8,3.2 GHz,130 W,17516,High
Intel Core 2 Quad Q9300,LGA775,4,4,2.5 GHz,95 W,25574,Entry
Intel Xeon E3-1240 V2,LGA1155,4,8,3.4 GHz,69 W,46710,Pro
Intel Xeon E5-2660 V3,LGA2011-3,10,20,2.6 GHz,3.3 GHz,105 W,0,Pro
Intel Xeon E5-2630L V3,LGA2011-3,8,16,1.8 GHz,2.9 GHz,55 W,45769,Pro
Intel Core i7-940,LGA1366,4,8,2.93 GHz,130 W,17509,High
Intel Core 2 Quad Q8400,LGA775,4,4,2.66 GHz,95 W,15174,Entry
Intel Xeon E-2176G,LGA1151,6,12,3.7 GHz,4.7 GHz,80 W,58558,Pro
AMD Athlon X4 750K,FM2,4,4,3.4 GHz,100 W,0,Entry
AMD FX-8370E,AM3+,8,8,3.3 GHz,4.3 GHz,95 W,0,Entry
Intel Core i3-6100T,LGA1151,2,4,3.2 GHz,35 W,17509,Entry
Intel Xeon E3-1270 V6,LGA1151,4,8,3.8 GHz,4.2 GHz,72 W,29188,Pro
Intel Xeon E-2236,LGA1151,6,12,3.4 GHz,4.8 GHz,80 W,52785,Pro
Intel Core i5-655K,LGA1156,2,4,3.2 GHz,73 W,8057,Mid
Intel Xeon E5-1660 V2,LGA2011,6,12,3.7 GHz,4.0 GHz,130 W,0,Pro
Intel Celeron G3920,LGA1151,2,2,2.6 GHz,35 W,57814,Entry
Intel Xeon E-2174G,LGA1151,4,8,3.8 GHz,4.7 GHz,71 W,75898,Pro
Intel Xeon E3-1220 V6,LGA1151,4,4,3.0 GHz,3.5 GHz,72 W,22833,Pro
Intel Xeon E3-1230 V6,LGA1151,4,8,3.5 GHz,3.9 GHz,72 W,53190,Pro
Intel Core i7-980,LGA1366,6,12,3.333 GHz,130 W,40865,High
Intel Core i3-3250,LGA1155,2,4,3.5 GHz,55 W,10510,Entry
Intel Xeon E5-2640 V3,LGA2011-3,8,16,2.6 GHz,3.4 GHz,90 W,22181,Pro
Intel Core i5-4690,LGA1150,4,4,3.5 GHz,3.9 GHz,84 W,12888,Mid
Intel Core i5-8600,LGA1151,6,6,3.1 GHz,4.3 GHz,65 W,31523,Mid
Intel Core i7-965 Extreme Edition,LGA1366,4,8,3.2 GHz,130 W,0,High
Intel Xeon E5-2665,LGA2011,8,16,2.4 GHz,3.1 GHz,115 W,17509,Pro
Intel Core i5-6500T,LGA1151,4,4,2.5 GHz,3.1 GHz,35 W,23232,Mid
AMD EPYC 4344P,AM5,8,16,3.8 GHz,5.3 GHz,65 W,40870,Pro
Intel Xeon E3-1245 V2,LGA1155,4,8,3.4 GHz,77 W,21643,Pro
Intel Core i5-7640X,LGA2066,4,4,4.0 GHz,4.2 GHz,112 W,33591,Mid
Intel Xeon E5-2643 V3,LGA2011-3,6,12,3.4 GHz,3.7 GHz,135 W,27494,Pro
Intel Xeon E3-1275 V6,LGA1151,4,8,3.8 GHz,4.2 GHz,73 W,58265,Pro
Intel Core i7-7820X,LGA2066,8,16,3.6 GHz,4.5 GHz,140 W,57807,High
Intel Xeon E5-2640 V2,LGA2011,8,16,2.0 GHz,2.5 GHz,95 W,0,Pro
AMD A10-6800B,FM2,4,4,4.1 GHz,4.4 GHz,100 W,0,Entry
Intel Xeon E3-1225 V6,LGA1151,4,4,3.3 GHz,3.7 GHz,73 W,40865,Pro
Intel Core i5-3570S,LGA1155,4,4,3.1 GHz,3.8 GHz,65 W,0,Mid
Intel Core i3-8300,LGA1151,4,4,3.7 GHz,62 W,0,Entry
Intel Core i5-3330S,LGA1155,4,4,2.7 GHz,3.2 GHz,65 W,17509,Mid
Intel Core i5-9600T,LGA1151,6,6,2.3 GHz,3.9 GHz,35 W,0,Mid
Intel Celeron E1200,LGA775,2,2,1.6 GHz,65 W,0,Entry
Intel Core 2 Duo E4300,LGA775,2,2,1.8 GHz,65 W,8758,Entry
Intel Core i5-661,LGA1156,2,4,3.33 GHz,87 W,9342,Mid
Intel Xeon E5-2620 V3,LGA2011-3,6,12,2.4 GHz,3.2 GHz,85 W,17509,Pro
Intel Pentium E5300,LGA775,2,2,2.6 GHz,65 W,9272,Entry
Intel Pentium E5300,LGA775,2,2,2.6 GHz,65 W,10071,Entry
Intel Core 2 Duo E8400,LGA775,2,2,3.0 GHz,65 W,14012,Entry
Intel Core 2 Extreme X6800,LGA775,2,2,2.93 GHz,75 W,,Entry
Intel Pentium G645,LGA1155,2,2,2.9 GHz,65 W,9576,Entry
Intel Celeron G1820,LGA1150,2,2,2.7 GHz,53 W,0,Entry
Intel Xeon E5-2609,LGA2011,4,4,2.4 GHz,80 W,10504,Pro
Intel Xeon E5-2637 V2,LGA2011,4,8,3.5 GHz,3.8 GHz,130 W,0,Pro
Intel Xeon E3-1275 V2,LGA1155,4,8,3.5 GHz,77 W,43674,Pro
Intel Xeon E3-1240 V6,LGA1151,4,8,3.7 GHz,4.1 GHz,72 W,50202,Pro
Intel Xeon E3-1225 V6,LGA1151,4,4,3.3 GHz,3.7 GHz,73 W,43201,Pro
Intel Xeon E5-2450V2,LGA1356,8,16,2.5 GHz,3.3 GHz,95 W,0,Pro
Intel Xeon E3-1240 V6,LGA1151,4,8,3.7 GHz,4.1 GHz,72 W,50202,Pro
Intel Xeon E3-1225 V6,LGA1151,4,4,3.3 GHz,3.7 GHz,73 W,43201,Pro
Intel Xeon E3-1240 V6,LGA1151,4,8,3.7 GHz,4.1 GHz,72 W,50202,Pro
Intel Xeon E3-1225 V6,LGA1151,4,4,3.3 GHz,3.7 GHz,73 W,43201,Pro
